Bucket,P_Usage,OP_Usage,MinDateTime,MaxDateTime,Minutes
2022-06-29T21:30:00.000000,0.08670520231213873,0.0,2022-06-29T21:31:00.000000,2022-06-29T21:45:00.000000,15
2022-06-29T21:45:00.000000,0.08670520231213873,0.0,2022-06-29T21:46:00.000000,2022-06-29T22:00:00.000000,15
2022-06-29T22:00:00.000000,0.08670520231213873,0.0,2022-06-29T22:01:00.000000,2022-06-29T22:15:00.000000,15
2022-06-29T22:15:00.000000,0.08670520231213873,0.0,2022-06-29T22:16:00.000000,2022-06-29T22:30:00.000000,15
2022-06-29T22:30:00.000000,0.08670520231213873,0.0,2022-06-29T22:31:00.000000,2022-06-29T22:45:00.000000,15
2022-06-29T22:45:00.000000,0.08670520231213873,0.0,2022-06-29T22:46:00.000000,2022-06-29T23:00:00.000000,15
2022-06-29T23:00:00.000000,0.08670520231213873,0.0,2022-06-29T23:01:00.000000,2022-06-29T23:15:00.000000,15
2022-06-29T23:15:00.000000,0.08670520231213873,0.0,2022-06-29T23:16:00.000000,2022-06-29T23:30:00.000000,15
2022-06-29T23:30:00.000000,0.0,0.17857142857142855,2022-06-29T23:31:00.000000,2022-06-29T23:45:00.000000,15
2022-06-29T23:45:00.000000,0.0,0.17857142857142855,2022-06-29T23:46:00.000000,2022-06-30T00:00:00.000000,15
2022-06-30T00:00:00.000000,0.0,0.17857142857142855,2022-06-30T00:01:00.000000,2022-06-30T00:15:00.000000,15
2022-06-30T00:15:00.000000,0.0,0.17857142857142855,2022-06-30T00:16:00.000000,2022-06-30T00:30:00.000000,15
2022-06-30T00:30:00.000000,0.0,0.17857142857142855,2022-06-30T00:31:00.000000,2022-06-30T00:45:00.000000,15
2022-06-30T00:45:00.000000,0.0,0.17857142857142855,2022-06-30T00:46:00.000000,2022-06-30T01:00:00.000000,15
2022-06-30T01:00:00.000000,0.0,0.17857142857142855,2022-06-30T01:01:00.000000,2022-06-30T01:15:00.000000,15
2022-06-30T01:15:00.000000,0.0,0.17857142857142855,2022-06-30T01:16:00.000000,2022-06-30T01:30:00.000000,15
2022-06-30T01:30:00.000000,0.0,0.17857142857142855,2022-06-30T01:31:00.000000,2022-06-30T01:45:00.000000,15
2022-06-30T01:45:00.000000,0.0,0.17857142857142855,2022-06-30T01:46:00.000000,2022-06-30T02:00:00.000000,15
2022-06-30T02:00:00.000000,0.0,0.17857142857142855,2022-06-30T02:01:00.000000,2022-06-30T02:15:00.000000,15
2022-06-30T02:15:00.000000,0.0,0.17857142857142855,2022-06-30T02:16:00.000000,2022-06-30T02:30:00.000000,15
2022-06-30T02:30:00.000000,0.0,0.17857142857142855,2022-06-30T02:31:00.000000,2022-06-30T02:45:00.000000,15
2022-06-30T02:45:00.000000,0.0,0.17857142857142855,2022-06-30T02:46:00.000000,2022-06-30T03:00:00.000000,15
2022-06-30T03:00:00.000000,0.0,0.17857142857142855,2022-06-30T03:01:00.000000,2022-06-30T03:15:00.000000,15
2022-06-30T03:15:00.000000,0.0,0.17857142857142855,2022-06-30T03:16:00.000000,2022-06-30T03:30:00.000000,15
2022-06-30T03:30:00.000000,0.0,0.17857142857142855,2022-06-30T03:31:00.000000,2022-06-30T03:45:00.000000,15
2022-06-30T03:45:00.000000,0.0,0.17857142857142855,2022-06-30T03:46:00.000000,2022-06-30T04:00:00.000000,15
2022-06-30T04:00:00.000000,0.0,0.17857142857142855,2022-06-30T04:01:00.000000,2022-06-30T04:15:00.000000,15
2022-06-30T04:15:00.000000,0.0,0.17857142857142855,2022-06-30T04:16:00.000000,2022-06-30T04:30:00.000000,15
2022-06-30T04:30:00.000000,0.0,0.17857142857142855,2022-06-30T04:31:00.000000,2022-06-30T04:45:00.000000,15
2022-06-30T04:45:00.000000,0.0,0.17857142857142855,2022-06-30T04:46:00.000000,2022-06-30T05:00:00.000000,15
2022-06-30T05:00:00.000000,0.0,0.17857142857142855,2022-06-30T05:01:00.000000,2022-06-30T05:15:00.000000,15
2022-06-30T05:15:00.000000,0.0,0.17857142857142855,2022-06-30T05:16:00.000000,2022-06-30T05:30:00.000000,15
2022-06-30T05:30:00.000000,0.0,0.17857142857142855,2022-06-30T05:31:00.000000,2022-06-30T05:45:00.000000,15
2022-06-30T05:45:00.000000,0.0,0.17857142857142855,2022-06-30T05:46:00.000000,2022-06-30T06:00:00.000000,15
2022-06-30T06:00:00.000000,0.0,0.17857142857142855,2022-06-30T06:01:00.000000,2022-06-30T06:15:00.000000,15
2022-06-30T06:15:00.000000,0.0,0.17857142857142855,2022-06-30T06:16:00.000000,2022-06-30T06:30:00.000000,15
2022-06-30T06:30:00.000000,0.08670520231213873,0.0,2022-06-30T06:31:00.000000,2022-06-30T06:45:00.000000,15
2022-06-30T06:45:00.000000,0.08670520231213873,0.0,2022-06-30T06:46:00.000000,2022-06-30T07:00:00.000000,15
2022-06-30T07:00:00.000000,0.08670520231213873,0.0,2022-06-30T07:01:00.000000,2022-06-30T07:15:00.000000,15
2022-06-30T07:15:00.000000,0.08670520231213873,0.0,2022-06-30T07:16:00.000000,2022-06-30T07:30:00.000000,15
2022-06-30T07:30:00.000000,0.08670520231213873,0.0,2022-06-30T07:31:00.000000,2022-06-30T07:45:00.000000,15
2022-06-30T07:45:00.000000,0.08670520231213873,0.0,2022-06-30T07:46:00.000000,2022-06-30T08:00:00.000000,15
2022-06-30T08:00:00.000000,0.08670520231213873,0.0,2022-06-30T08:01:00.000000,2022-06-30T08:15:00.000000,15
2022-06-30T08:15:00.000000,0.08670520231213873,0.0,2022-06-30T08:16:00.000000,2022-06-30T08:30:00.000000,15
